,descriptor,timestamp,ambientRaw,objectRaw,ambientTemp,objectTemp,epoch
0,1.0,84425164.0,13445.0,64599.0,297.0627746582031,297.34527587890625,1666293507.0689206
1,2.0,84425165.0,14001.0,64493.0,298.2197570800781,298.34979248046875,1666293507.0689206
2,3.0,84425167.0,13161.0,64465.0,297.45233154296875,297.4839172363281,1666293507.0689206
3,4.0,84425168.0,13188.0,64455.0,297.4872131347656,297.05645751953125,1666293507.0689206
4,5.0,84425170.0,13680.0,64469.0,296.9581298828125,296.9006042480469,1666293507.0689206
5,1.0,84426153.0,13449.0,64611.0,297.0860290527344,297.3984069824219,1666293508.0259206
6,2.0,84426154.0,14000.0,64486.0,298.2139587402344,298.3258056640625,1666293508.0259206
7,3.0,84426156.0,13159.0,64474.0,297.4407043457031,297.4959411621094,1666293508.0259206
8,4.0,84426157.0,13187.0,64468.0,297.48138427734375,297.0870361328125,1666293508.0259206
9,5.0,84426159.0,13675.0,64489.0,296.9290771484375,296.9291076660156,1666293508.0259206
10,1.0,84427153.0,13445.0,64612.0,297.0627746582031,297.3777160644531,1666293509.0149207
11,2.0,84427155.0,14001.0,64490.0,298.2197570800781,298.34197998046875,1666293509.0149207
12,3.0,84427156.0,13161.0,64478.0,297.45233154296875,297.5180969238281,1666293509.0149207
13,4.0,84427158.0,13186.0,64473.0,297.4755859375,297.09521484375,1666293509.0149207
14,5.0,84427160.0,13675.0,64494.0,296.9290771484375,296.9435119628906,1666293509.0149207
15,1.0,84428153.0,13444.0,64611.0,297.0569763183594,297.36944580078125,1666293510.002921
16,2.0,84428155.0,14000.0,64491.0,298.2139587402344,298.33880615234375,1666293510.002921
17,3.0,84428156.0,13157.0,64479.0,297.4290771484375,297.4974670410156,1666293510.002921
18,4.0,84428158.0,13188.0,64474.0,297.4872131347656,297.1097106933594,1666293510.002921
19,5.0,84428160.0,13677.0,64496.0,296.9407043457031,296.96087646484375,1666293510.002921
20,1.0,84429153.0,13447.0,64606.0,297.07440185546875,297.37432861328125,1666293511.0079203
21,2.0,84429154.0,14002.0,64487.0,298.2255859375,298.34002685546875,1666293511.0079203
22,3.0,84429156.0,13159.0,64471.0,297.4407043457031,297.4880676269531,1666293511.0079203
23,4.0,84429157.0,13188.0,64463.0,297.4872131347656,297.078857421875,1666293511.0079203
24,5.0,84429159.0,13679.0,64489.0,296.95233154296875,296.9523620605469,1666293511.0079203
25,1.0,84430164.0,13446.0,64607.0,297.068603515625,297.3710632324219,1666293512.0589201
26,2.0,84430165.0,14002.0,64481.0,298.2255859375,298.3244323730469,1666293512.0589201
27,3.0,84430167.0,13159.0,64473.0,297.4407043457031,297.4933166503906,1666293512.0589201
28,4.0,84430169.0,13186.0,64463.0,297.4755859375,297.06719970703125,1666293512.0589201
29,5.0,84430171.0,13676.0,64478.0,296.93487548828125,296.90325927734375,1666293512.0589201
30,1.0,84431153.0,13444.0,64596.0,297.0569763183594,297.3320007324219,1666293513.0029242
31,2.0,84431154.0,14000.0,64482.0,298.2139587402344,298.3153991699219,1666293513.0029242
32,3.0,84431156.0,13160.0,64458.0,297.4465026855469,297.4596862792969,1666293513.0029242
33,4.0,84431157.0,13184.0,64445.0,297.4639587402344,297.00506591796875,1666293513.0029242
34,5.0,84431159.0,13677.0,64467.0,296.9407043457031,296.8774108886719,1666293513.0029242
35,1.0,84432153.0,13445.0,64592.0,297.0627746582031,297.3277893066406,1666293514.008921
36,2.0,84432155.0,13999.0,64481.0,298.2081298828125,298.3069763183594,1666293514.008921
37,3.0,84432156.0,13158.0,64459.0,297.43487548828125,297.45068359375,1666293514.008921
38,4.0,84432158.0,13190.0,64439.0,297.49884033203125,297.0232849121094,1666293514.008921
39,5.0,84432160.0,13678.0,64457.0,296.9465026855469,296.85443115234375,1666293514.008921
40,1.0,84433153.0,13443.0,64594.0,297.0511474609375,297.3211975097656,1666293515.012921
41,2.0,84433155.0,13999.0,64486.0,298.2081298828125,298.3199768066406,1666293515.012921
42,3.0,84433156.0,13158.0,64462.0,297.43487548828125,297.4585876464844,1666293515.012921
43,4.0,84433158.0,13189.0,64445.0,297.4930114746094,297.03424072265625,1666293515.012921
44,5.0,84433160.0,13676.0,64462.0,296.93487548828125,296.857177734375,1666293515.012921
45,1.0,84434153.0,13443.0,64597.0,297.0511474609375,297.32867431640625,1666293516.0039203
46,2.0,84434154.0,13998.0,64492.0,298.20233154296875,298.32977294921875,1666293516.0039203
47,3.0,84434156.0,13158.0,64462.0,297.43487548828125,297.4585876464844,1666293516.0039203
48,4.0,84434157.0,13183.0,64451.0,297.4581298828125,297.0160217285156,1666293516.0039203
49,5.0,84434159.0,13675.0,64467.0,296.9290771484375,296.86578369140625,1666293516.0039203
50,1.0,84435164.0,13441.0,64602.0,297.0395202636719,297.32958984375,1666293517.068928
51,2.0,84435165.0,13999.0,64495.0,298.2081298828125,298.3433532714844,1666293517.068928
52,3.0,84435167.0,13158.0,64464.0,297.43487548828125,297.4638366699219,1666293517.068928
53,4.0,84435169.0,13184.0,64451.0,297.4639587402344,297.0218811035156,1666293517.068928
54,5.0,84435171.0,13674.0,64469.0,296.9232482910156,296.86572265625,1666293517.068928
55,1.0,84436153.0,13444.0,64609.0,297.0569763183594,297.36444091796875,1666293518.013921
56,2.0,84436154.0,13999.0,64499.0,298.2081298828125,298.353759765625,1666293518.013921
57,3.0,84436156.0,13158.0,64475.0,297.43487548828125,297.49273681640625,1666293518.013921
58,4.0,84436157.0,13184.0,64463.0,297.4639587402344,297.0555419921875,1666293518.013921
59,5.0,84436159.0,13676.0,64483.0,296.93487548828125,296.9176330566406,1666293518.013921
60,1.0,84437153.0,13444.0,64615.0,297.0569763183594,297.3794250488281,1666293519.0189197
61,2.0,84437155.0,13996.0,64494.0,298.1907043457031,298.3233642578125,1666293519.0189197
62,3.0,84437156.0,13158.0,64475.0,297.43487548828125,297.49273681640625,1666293519.0189197
63,4.0,84437158.0,13184.0,64466.0,297.4639587402344,297.0639343261719,1666293519.0189197
64,5.0,84437160.0,13676.0,64485.0,296.93487548828125,296.92340087890625,1666293519.0189197
65,1.0,84438153.0,13440.0,64607.0,297.0337219238281,297.3362731933594,1666293520.0089195
66,2.0,84438155.0,13998.0,64481.0,298.20233154296875,298.3011779785156,1666293520.0089195
67,3.0,84438156.0,13154.0,64471.0,297.41162109375,297.458984375,1666293520.0089195
68,4.0,84438158.0,13183.0,64461.0,297.4581298828125,297.0440673828125,1666293520.0089195
69,5.0,84438160.0,13675.0,64478.0,296.9290771484375,296.8974609375,1666293520.0089195
70,1.0,84439153.0,13442.0,64608.0,297.04534912109375,297.3503723144531,1666293521.0129192
71,2.0,84439154.0,13996.0,64484.0,298.1907043457031,298.29736328125,1666293521.0129192
72,3.0,84439156.0,13154.0,64460.0,297.41162109375,297.4300842285156,1666293521.0129192
73,4.0,84439157.0,13183.0,64454.0,297.4581298828125,297.0244445800781,1666293521.0129192
74,5.0,84439159.0,13676.0,64474.0,296.93487548828125,296.8917236328125,1666293521.0129192
75,1.0,84440164.0,13444.0,64616.0,297.0569763183594,297.3819274902344,1666293522.06392
76,2.0,84440165.0,13996.0,64491.0,298.1907043457031,298.3155517578125,1666293522.06392
77,3.0,84440167.0,13155.0,64467.0,297.4174499511719,297.4543151855469,1666293522.06392
78,4.0,84440168.0,13185.0,64458.0,297.4697570800781,297.0473327636719,1666293522.06392
79,5.0,84440170.0,13675.0,64475.0,296.9290771484375,296.8888244628906,1666293522.06392
80,1.0,84441153.0,13441.0,64621.0,297.0395202636719,297.3769836425781,1666293523.0089223
81,2.0,84441154.0,13993.0,64493.0,298.1732482910156,298.3033447265625,1666293523.0089223
82,3.0,84441156.0,13157.0,64477.0,297.4290771484375,297.4922180175781,1666293523.0089223
83,4.0,84441157.0,13183.0,64463.0,297.4581298828125,297.0496826171875,1666293523.0089223
84,5.0,84441159.0,13674.0,64476.0,296.9232482910156,296.8858642578125,1666293523.0089223
85,1.0,84442153.0,13441.0,64619.0,297.0395202636719,297.37200927734375,1666293524.0139217
86,2.0,84442155.0,13991.0,64512.0,298.16162109375,298.3410949707031,1666293524.0139217
87,3.0,84442156.0,13157.0,64481.0,297.4290771484375,297.5027160644531,1666293524.0139217
88,4.0,84442158.0,13184.0,64469.0,297.4639587402344,297.0723571777344,1666293524.0139217
89,5.0,84442160.0,13674.0,64483.0,296.9232482910156,296.906005859375,1666293524.0139217
90,1.0,84443153.0,13441.0,64622.0,297.0395202636719,297.3794860839844,1666293525.0189197
91,2.0,84443155.0,13994.0,64504.0,298.1790771484375,298.3377380371094,1666293525.0189197
92,3.0,84443156.0,13157.0,64484.0,297.4290771484375,297.5106201171875,1666293525.0189197
93,4.0,84443158.0,13184.0,64479.0,297.4639587402344,297.1003723144531,1666293525.0189197
94,5.0,84443160.0,13673.0,64501.0,296.9174499511719,296.9520263671875,1666293525.0189197
95,1.0,84444153.0,13442.0,64619.0,297.04534912109375,297.3778076171875,1666293526.0099208
96,2.0,84444154.0,13993.0,64508.0,298.1732482910156,298.3423156738281,1666293526.0099208
97,3.0,84444156.0,13158.0,64483.0,297.43487548828125,297.5137939453125,1666293526.0099208
98,4.0,84444157.0,13186.0,64475.0,297.4755859375,297.100830078125,1666293526.0099208
99,5.0,84444159.0,13677.0,64500.0,296.9407043457031,296.972412109375,1666293526.0099208
100,1.0,84445164.0,13440.0,64617.0,297.0337219238281,297.3612365722656,1666293527.0559204
101,2.0,84445165.0,13993.0,64503.0,298.1732482910156,298.3293151855469,1666293527.0559204
102,3.0,84445167.0,13155.0,64477.0,297.4174499511719,297.4805908203125,1666293527.0559204
103,4.0,84445169.0,13185.0,64465.0,297.4697570800781,297.06695556640625,1666293527.0559204
104,5.0,84445171.0,13674.0,64483.0,296.9232482910156,296.906005859375,1666293527.0559204
105,1.0,84446153.0,13440.0,64618.0,297.0337219238281,297.3637390136719,1666293528.0189197
