,timestamp_ns,signal,signal_dimensions,sensor_id,accuracy,epoch
0,58692557000000.0,145.57656860351562,1.0,1.0,3.0,1666365062.7612555
1,58692557000000.0,1531.943115234375,1.0,3.0,3.0,1666365062.7612555
2,58692557000000.0,5.190072059631348,1.0,4.0,3.0,1666365062.7612555
3,58692557000000.0,25.723445892333984,1.0,6.0,0.0,1666365062.7612555
4,58692557000000.0,101905.4296875,1.0,7.0,0.0,1666365062.7612555
5,58692557000000.0,19.63512420654297,1.0,8.0,0.0,1666365062.7612555
6,58692557000000.0,143982.0,1.0,9.0,0.0,1666365062.7612555
7,58692557000000.0,1.0,1.0,12.0,0.0,1666365062.7612555
8,58692557000000.0,1.0,1.0,13.0,0.0,1666365062.7612555
9,58695557000000.0,146.83236694335938,1.0,1.0,3.0,1666365062.7612555
10,58695557000000.0,1545.4901123046875,1.0,3.0,3.0,1666365062.7612555
11,58695557000000.0,5.3519721031188965,1.0,4.0,3.0,1666365062.7612555
12,58695557000000.0,25.718374252319336,1.0,6.0,0.0,1666365062.7612555
13,58695557000000.0,101905.453125,1.0,7.0,0.0,1666365062.7612555
14,58695557000000.0,19.8031005859375,1.0,8.0,0.0,1666365062.7612555
15,58695557000000.0,144714.53125,1.0,9.0,0.0,1666365062.7612555
16,58695557000000.0,1.0,1.0,12.0,0.0,1666365062.7612555
17,58695557000000.0,1.0,1.0,13.0,0.0,1666365062.7612555
18,58698557000000.0,145.89559936523438,1.0,1.0,3.0,1666365062.7612555
19,58698557000000.0,1535.364013671875,1.0,3.0,3.0,1666365062.7612555
20,58698557000000.0,5.230487823486328,1.0,4.0,3.0,1666365062.7612555
21,58698557000000.0,25.685400009155273,1.0,6.0,0.0,1666365062.7612555
22,58698557000000.0,101907.296875,1.0,7.0,0.0,1666365062.7612555
23,58698557000000.0,19.73992156982422,1.0,8.0,0.0,1666365062.7612555
24,58698557000000.0,147465.4375,1.0,9.0,0.0,1666365062.7612555
25,58698557000000.0,1.0,1.0,12.0,0.0,1666365062.7612555
26,58698557000000.0,1.0,1.0,13.0,0.0,1666365062.7612555
27,58701557000000.0,145.6440887451172,1.0,1.0,3.0,1666365071.7743022
28,58701557000000.0,1532.6368408203125,1.0,3.0,3.0,1666365071.7743022
29,58701557000000.0,5.198244094848633,1.0,4.0,3.0,1666365071.7743022
30,58701557000000.0,25.7056941986084,1.0,6.0,0.0,1666365071.7743022
31,58701557000000.0,101906.5859375,1.0,7.0,0.0,1666365071.7743022
32,58701557000000.0,19.730928421020508,1.0,8.0,0.0,1666365071.7743022
33,58701557000000.0,146831.09375,1.0,9.0,0.0,1666365071.7743022
34,58701557000000.0,1.0,1.0,12.0,0.0,1666365071.7743022
35,58701557000000.0,1.0,1.0,13.0,0.0,1666365071.7743022
36,58704557000000.0,144.8672332763672,1.0,1.0,3.0,1666365071.7743022
37,58704557000000.0,1524.2376708984375,1.0,3.0,3.0,1666365071.7743022
38,58704557000000.0,5.100180625915527,1.0,4.0,3.0,1666365071.7743022
39,58704557000000.0,25.680328369140625,1.0,6.0,0.0,1666365071.7743022
40,58704557000000.0,101909.5703125,1.0,7.0,0.0,1666365071.7743022
41,58704557000000.0,19.760021209716797,1.0,8.0,0.0,1666365071.7743022
42,58704557000000.0,147720.71875,1.0,9.0,0.0,1666365071.7743022
43,58704557000000.0,1.0,1.0,12.0,0.0,1666365071.7743022
44,58704557000000.0,1.0,1.0,13.0,0.0,1666365071.7743022
45,58707557000000.0,145.1134033203125,1.0,1.0,3.0,1666365071.7743022
46,58707557000000.0,1526.883544921875,1.0,3.0,3.0,1666365071.7743022
47,58707557000000.0,5.1308698654174805,1.0,4.0,3.0,1666365071.7743022
48,58707557000000.0,25.685400009155273,1.0,6.0,0.0,1666365071.7743022
49,58707557000000.0,101908.515625,1.0,7.0,0.0,1666365071.7743022
50,58707557000000.0,19.66854476928711,1.0,8.0,0.0,1666365071.7743022
51,58707557000000.0,146578.875,1.0,9.0,0.0,1666365071.7743022
52,58707557000000.0,1.0,1.0,12.0,0.0,1666365071.7743022
53,58707557000000.0,1.0,1.0,13.0,0.0,1666365071.7743022
54,58710557000000.0,145.36639404296875,1.0,1.0,3.0,1666365080.804615
55,58710557000000.0,1529.6033935546875,1.0,3.0,3.0,1666365080.804615
56,58710557000000.0,5.16261100769043,1.0,4.0,3.0,1666365080.804615
57,58710557000000.0,25.6828670501709,1.0,6.0,0.0,1666365080.804615
58,58710557000000.0,101907.7421875,1.0,7.0,0.0,1666365080.804615
59,58710557000000.0,19.663299560546875,1.0,8.0,0.0,1666365080.804615
60,58710557000000.0,146453.09375,1.0,9.0,0.0,1666365080.804615
61,58710557000000.0,1.0,1.0,12.0,0.0,1666365080.804615
62,58710557000000.0,1.0,1.0,13.0,0.0,1666365080.804615
63,58713557000000.0,145.26971435546875,1.0,1.0,3.0,1666365080.804615
64,58713557000000.0,1528.5479736328125,1.0,3.0,3.0,1666365080.804615
65,58713557000000.0,5.150271415710449,1.0,4.0,3.0,1666365080.804615
66,58713557000000.0,25.70823097229004,1.0,6.0,0.0,1666365080.804615
67,58713557000000.0,101906.3125,1.0,7.0,0.0,1666365080.804615
68,58713557000000.0,19.66990089416504,1.0,8.0,0.0,1666365080.804615
69,58713557000000.0,146831.09375,1.0,9.0,0.0,1666365080.804615
70,58713557000000.0,1.0,1.0,12.0,0.0,1666365080.804615
71,58713557000000.0,1.0,1.0,13.0,0.0,1666365080.804615
72,58716557000000.0,144.77447509765625,1.0,1.0,3.0,1666365080.804615
73,58716557000000.0,1523.189697265625,1.0,3.0,3.0,1666365080.804615
74,58716557000000.0,5.088075637817383,1.0,4.0,3.0,1666365080.804615
75,58716557000000.0,25.736133575439453,1.0,6.0,0.0,1666365080.804615
76,58716557000000.0,101908.140625,1.0,7.0,0.0,1666365080.804615
77,58716557000000.0,19.646066665649414,1.0,8.0,0.0,1666365080.804615
78,58716557000000.0,147465.4375,1.0,9.0,0.0,1666365080.804615
79,58716557000000.0,1.0,1.0,12.0,0.0,1666365080.804615
80,58716557000000.0,1.0,1.0,13.0,0.0,1666365080.804615
81,58719557000000.0,144.67575073242188,1.0,1.0,3.0,1666365089.7762792
82,58719557000000.0,1522.112060546875,1.0,3.0,3.0,1666365089.7762792
83,58719557000000.0,5.075658321380615,1.0,4.0,3.0,1666365089.7762792
84,58719557000000.0,25.75388526916504,1.0,6.0,0.0,1666365089.7762792
85,58719557000000.0,101911.0078125,1.0,7.0,0.0,1666365089.7762792
86,58719557000000.0,19.626737594604492,1.0,8.0,0.0,1666365089.7762792
87,58719557000000.0,147084.171875,1.0,9.0,0.0,1666365089.7762792
88,58719557000000.0,1.0,1.0,12.0,0.0,1666365089.7762792
89,58719557000000.0,1.0,1.0,13.0,0.0,1666365089.7762792
90,58722557000000.0,144.29295349121094,1.0,1.0,3.0,1666365089.7762792
91,58722557000000.0,1517.9677734375,1.0,3.0,3.0,1666365089.7762792
92,58722557000000.0,5.028186321258545,1.0,4.0,3.0,1666365089.7762792
93,58722557000000.0,25.741201400756836,1.0,6.0,0.0,1666365089.7762792
94,58722557000000.0,101907.78125,1.0,7.0,0.0,1666365089.7762792
95,58722557000000.0,19.590322494506836,1.0,8.0,0.0,1666365089.7762792
96,58722557000000.0,147592.96875,1.0,9.0,0.0,1666365089.7762792
97,58722557000000.0,1.0,1.0,12.0,0.0,1666365089.7762792
98,58722557000000.0,1.0,1.0,13.0,0.0,1666365089.7762792
99,58725557000000.0,143.94671630859375,1.0,1.0,3.0,1666365089.7762792
100,58725557000000.0,1514.218505859375,1.0,3.0,3.0,1666365089.7762792
101,58725557000000.0,4.985619068145752,1.0,4.0,3.0,1666365089.7762792
102,58725557000000.0,25.756420135498047,1.0,6.0,0.0,1666365089.7762792
103,58725557000000.0,101908.125,1.0,7.0,0.0,1666365089.7762792
104,58725557000000.0,19.570844650268555,1.0,8.0,0.0,1666365089.7762792
105,58725557000000.0,147720.71875,1.0,9.0,0.0,1666365089.7762792
106,58725557000000.0,1.0,1.0,12.0,0.0,1666365089.7762792
107,58725557000000.0,1.0,1.0,13.0,0.0,1666365089.7762792
