,descriptor,timestamp,ambientRaw,objectRaw,ambientTemp,objectTemp,epoch
0,1.0,8825164.0,13414.0,64634.0,296.8825378417969,297.25299072265625,1666217877.7278452
1,2.0,8825165.0,13960.0,64511.0,297.98138427734375,298.1585693359375,1666217877.7278452
2,3.0,8825167.0,13113.0,64424.0,297.1732482910156,297.0968017578125,1666217877.7278452
3,4.0,8825168.0,13147.0,64424.0,297.24884033203125,296.72998046875,1666217877.7278452
4,5.0,8825170.0,13638.0,64444.0,296.7139587402344,296.58416748046875,1666217877.7278452
5,1.0,8826153.0,13414.0,64639.0,296.8825378417969,297.2655029296875,1666217878.6738393
6,2.0,8826154.0,13961.0,64518.0,297.9872131347656,298.1825866699219,1666217878.6738393
7,3.0,8826156.0,13115.0,64444.0,297.18487548828125,297.16119384765625,1666217878.6738393
8,4.0,8826157.0,13146.0,64438.0,297.2430114746094,296.76348876953125,1666217878.6738393
9,5.0,8826159.0,13642.0,64459.0,296.7372131347656,296.6507263183594,1666217878.6738393
10,1.0,8827153.0,13418.0,64636.0,296.90582275390625,297.28118896484375,1666217879.6618445
11,2.0,8827155.0,13957.0,64520.0,297.9639587402344,298.1645812988281,1666217879.6618445
12,3.0,8827156.0,13112.0,64423.0,297.1674499511719,297.08837890625,1666217879.6618445
13,4.0,8827158.0,13146.0,64400.0,297.2430114746094,296.6566162109375,1666217879.6618445
14,5.0,8827160.0,13637.0,64411.0,296.7081298828125,296.48297119140625,1666217879.6618445
15,1.0,8828153.0,13416.0,64644.0,296.8941650390625,297.28955078125,1666217880.6669848
16,2.0,8828155.0,13957.0,64517.0,297.9639587402344,298.1567687988281,1666217880.6669848
17,3.0,8828156.0,13113.0,64441.0,297.1732482910156,297.14166259765625,1666217880.6669848
18,4.0,8828158.0,13145.0,64429.0,297.2372131347656,296.73236083984375,1666217880.6669848
19,5.0,8828160.0,13638.0,64442.0,296.7139587402344,296.578369140625,1666217880.6669848
20,1.0,8829153.0,13416.0,64637.0,296.8941650390625,297.2720947265625,1666217881.6722434
21,2.0,8829154.0,13957.0,64512.0,297.9639587402344,298.1437683105469,1666217881.6722434
22,3.0,8829156.0,13110.0,64447.0,297.15582275390625,297.1400451660156,1666217881.6722434
23,4.0,8829157.0,13146.0,64439.0,297.2430114746094,296.76629638671875,1666217881.6722434
24,5.0,8829159.0,13637.0,64457.0,296.7081298828125,296.6158447265625,1666217881.6722434
25,1.0,8830164.0,13415.0,64628.0,296.88836669921875,297.2438049316406,1666217883.0581257
26,2.0,8830165.0,13957.0,64493.0,297.9639587402344,298.09429931640625,1666217883.0581257
27,3.0,8830167.0,13114.0,64446.0,297.1790771484375,297.16064453125,1666217883.0581257
28,4.0,8830168.0,13146.0,64439.0,297.2430114746094,296.76629638671875,1666217883.0581257
29,5.0,8830170.0,13640.0,64453.0,296.7255859375,296.62176513671875,1666217883.0581257
30,1.0,8831153.0,13414.0,64644.0,296.8825378417969,297.2779846191406,1666217883.6670635
31,2.0,8831154.0,13955.0,64509.0,297.95233154296875,298.1243591308594,1666217883.6670635
32,3.0,8831156.0,13113.0,64435.0,297.1732482910156,297.1258239746094,1666217883.6670635
