,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31708.0,14747.0,51.0,1.0,88901402.0,1666297984.8326867
1,31708.0,14753.0,51.0,1.0,88901457.0,1666297984.919424
2,31735.0,14752.0,51.0,1.0,88903402.0,1666297987.0880075
3,31736.0,14748.0,51.0,1.0,88903457.0,1666297987.1750135
4,31709.0,14759.0,51.0,1.0,88905402.0,1666297988.9240205
5,31697.0,14756.0,51.0,1.0,88905457.0,1666297989.0084963
6,31664.0,14755.0,51.0,1.0,88907402.0,1666297990.8788776
7,31713.0,14754.0,51.0,1.0,88907457.0,1666297990.9640853
8,31686.0,14759.0,51.0,1.0,88909402.0,1666297992.8221662
9,31679.0,14760.0,51.0,1.0,88909457.0,1666297992.8461645
10,31713.0,14752.0,51.0,1.0,88911402.0,1666297994.784552
11,31699.0,14749.0,51.0,1.0,88911457.0,1666297994.8289287
12,31686.0,14750.0,51.0,1.0,88913402.0,1666297996.7869625
13,31682.0,14753.0,51.0,1.0,88913457.0,1666297996.8389294
14,31772.0,14750.0,51.0,1.0,88915402.0,1666297998.774422
15,31772.0,14753.0,51.0,1.0,88915457.0,1666297998.83287
16,31749.0,14750.0,51.0,1.0,88917402.0,1666298000.7842271
17,31718.0,14750.0,51.0,1.0,88917457.0,1666298000.82988
18,31676.0,14752.0,51.0,1.0,88919402.0,1666298002.778438
19,31726.0,14751.0,51.0,1.0,88919457.0,1666298002.8384774
20,31725.0,14756.0,51.0,1.0,88921402.0,1666298004.7734487
21,31684.0,14746.0,51.0,1.0,88921457.0,1666298004.8344483
22,31721.0,14755.0,51.0,1.0,88923402.0,1666298006.7843618
23,31675.0,14754.0,51.0,1.0,88923457.0,1666298006.829357
24,31722.0,14769.0,51.0,1.0,88925402.0,1666298008.7793572
25,31679.0,14765.0,51.0,1.0,88925457.0,1666298008.8393562
26,31711.0,14760.0,51.0,1.0,88927402.0,1666298010.7883556
27,31739.0,14761.0,51.0,1.0,88927457.0,1666298010.8343558
28,31697.0,14760.0,51.0,1.0,88929402.0,1666298012.7848313
29,31709.0,14756.0,51.0,1.0,88929457.0,1666298012.8448286
30,31707.0,14751.0,51.0,1.0,88931402.0,1666298014.7788277
31,31685.0,14754.0,51.0,1.0,88931457.0,1666298014.8388255
32,31747.0,14750.0,51.0,1.0,88933402.0,1666298016.7888992
33,31732.0,14755.0,51.0,1.0,88933457.0,1666298016.8349
34,31712.0,14755.0,51.0,1.0,88935402.0,1666298018.7871244
35,31687.0,14758.0,51.0,1.0,88935457.0,1666298018.8451357
36,31721.0,14751.0,51.0,1.0,88937402.0,1666298020.7799568
37,31701.0,14755.0,51.0,1.0,88937457.0,1666298020.8386376
38,31713.0,14757.0,51.0,1.0,88939402.0,1666298022.7895331
39,31710.0,14749.0,51.0,1.0,88939457.0,1666298022.8495336
40,31720.0,14764.0,51.0,1.0,88941402.0,1666298024.7855341
41,31733.0,14759.0,51.0,1.0,88941457.0,1666298024.8445325
42,31737.0,14759.0,51.0,1.0,88943402.0,1666298026.7945287
43,31699.0,14756.0,51.0,1.0,88943457.0,1666298026.8395286
44,31736.0,14756.0,51.0,1.0,88945402.0,1666298028.7895303
45,31753.0,14755.0,51.0,1.0,88945457.0,1666298028.8495302
46,31723.0,14754.0,51.0,1.0,88947402.0,1666298030.784537
47,31807.0,14749.0,51.0,1.0,88947457.0,1666298030.8445315
48,31753.0,14757.0,51.0,1.0,88949402.0,1666298032.795515
49,31747.0,14756.0,51.0,1.0,88949457.0,1666298032.855518
50,31692.0,14751.0,51.0,1.0,88951402.0,1666298034.7913346
51,31697.0,14760.0,51.0,1.0,88951457.0,1666298034.8513355
52,31726.0,14761.0,51.0,1.0,88953402.0,1666298036.7854116
53,31741.0,14758.0,51.0,1.0,88953457.0,1666298036.8449638
54,31719.0,14750.0,51.0,1.0,88955402.0,1666298038.7957695
55,31703.0,14758.0,51.0,1.0,88955457.0,1666298038.8554268
56,31738.0,14762.0,51.0,1.0,88957402.0,1666298040.7899861
57,31721.0,14755.0,51.0,1.0,88957457.0,1666298040.8499875
58,31710.0,14749.0,51.0,1.0,88959402.0,1666298042.8009226
59,31737.0,14758.0,51.0,1.0,88959457.0,1666298042.8451352
60,31673.0,14762.0,51.0,1.0,88961402.0,1666298044.7950063
61,31678.0,14754.0,51.0,1.0,88961457.0,1666298044.8570054
62,31709.0,14755.0,51.0,1.0,88963402.0,1666298046.7907622
63,31708.0,14751.0,51.0,1.0,88963457.0,1666298046.8503335
64,31766.0,14762.0,51.0,1.0,88965402.0,1666298048.7999814
65,31714.0,14761.0,51.0,1.0,88965457.0,1666298048.8457763
66,31697.0,14761.0,51.0,1.0,88967402.0,1666298050.9159012
67,31710.0,14764.0,51.0,1.0,88967457.0,1666298051.0008914
68,31801.0,14764.0,51.0,1.0,88969402.0,1666298052.9018908
69,31757.0,14765.0,51.0,1.0,88969457.0,1666298052.987721
70,31711.0,14759.0,51.0,1.0,88971402.0,1666298054.917615
71,31713.0,14761.0,51.0,1.0,88971457.0,1666298055.003608
72,31738.0,14760.0,51.0,1.0,88973402.0,1666298056.915426
73,31753.0,14754.0,51.0,1.0,88973457.0,1666298057.0014372
74,31760.0,14760.0,51.0,1.0,88975402.0,1666298058.8074374
75,31742.0,14756.0,51.0,1.0,88975457.0,1666298058.8504384
76,31736.0,14754.0,51.0,1.0,88977402.0,1666298060.8018556
77,31686.0,14756.0,51.0,1.0,88977457.0,1666298060.8615186
78,31730.0,14758.0,51.0,1.0,88979402.0,1666298062.7963638
79,31723.0,14758.0,51.0,1.0,88979457.0,1666298062.8567564
80,31730.0,14755.0,51.0,1.0,88981402.0,1666298064.806907
81,31732.0,14751.0,51.0,1.0,88981457.0,1666298064.8510406
82,31725.0,14750.0,51.0,1.0,88983402.0,1666298066.802692
83,31864.0,14754.0,50.0,1.0,88983457.0,1666298066.861039
84,31758.0,14754.0,50.0,1.0,88985402.0,1666298068.7965164
85,31725.0,14756.0,50.0,1.0,88985457.0,1666298068.8561728
86,31745.0,14754.0,50.0,1.0,88987402.0,1666298070.8074915
87,31715.0,14756.0,50.0,1.0,88987457.0,1666298070.8654869
88,31753.0,14765.0,50.0,1.0,88989402.0,1666298072.8026197
89,31748.0,14763.0,50.0,1.0,88989457.0,1666298072.861622
90,31722.0,14748.0,50.0,1.0,88991402.0,1666298074.8108394
91,31726.0,14749.0,50.0,1.0,88991457.0,1666298074.8563313
92,31730.0,14752.0,50.0,1.0,88993402.0,1666298076.8069558
93,31694.0,14748.0,50.0,1.0,88993457.0,1666298076.8665507
94,31713.0,14754.0,50.0,1.0,88995402.0,1666298078.802507
95,31691.0,14752.0,50.0,1.0,88995457.0,1666298078.8618786
96,31734.0,14750.0,50.0,1.0,88997402.0,1666298080.8124878
97,31691.0,14750.0,50.0,1.0,88997457.0,1666298080.8564892
98,31713.0,14753.0,50.0,1.0,88999402.0,1666298082.8061678
99,31791.0,14750.0,50.0,1.0,88999457.0,1666298082.8672621
100,31733.0,14751.0,50.0,1.0,89001402.0,1666298084.8018563
101,31695.0,14749.0,50.0,1.0,89001457.0,1666298084.8619242
