,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
81,31530.0,17253.0,81.0,1.0,95453.0,1666306436.217989
82,31525.0,17232.0,83.0,1.0,97396.0,1666306438.152387
83,31517.0,17243.0,85.0,1.0,97454.0,1666306438.2121794
84,31561.0,17231.0,85.0,1.0,99396.0,1666306440.1637518
85,31607.0,17232.0,85.0,1.0,99453.0,1666306440.2217405
86,31577.0,17169.0,86.0,1.0,101397.0,1666306442.1589305
87,31616.0,17173.0,85.0,1.0,101452.0,1666306442.2179303
88,31574.0,17163.0,86.0,1.0,103398.0,1666306444.1679852
89,31566.0,17164.0,86.0,1.0,103452.0,1666306444.2139897
90,31556.0,17147.0,87.0,1.0,105397.0,1666306446.1633193
91,31557.0,17146.0,88.0,1.0,105453.0,1666306446.2237298
92,31548.0,17140.0,89.0,1.0,107396.0,1666306448.158216
93,31561.0,17129.0,89.0,1.0,107454.0,1666306448.218599
94,31579.0,17123.0,89.0,1.0,109396.0,1666306450.1707017
95,31616.0,17126.0,89.0,1.0,109453.0,1666306450.230704
96,31585.0,17116.0,89.0,1.0,111397.0,1666306452.1677027
97,31618.0,17113.0,89.0,1.0,111452.0,1666306452.2247064
98,31611.0,17100.0,88.0,1.0,113398.0,1666306454.1734085
99,31617.0,17100.0,88.0,1.0,113452.0,1666306454.2182732
100,31656.0,17093.0,87.0,1.0,115397.0,1666306456.1694884
101,31632.0,17092.0,87.0,1.0,115453.0,1666306456.228477
102,31616.0,17083.0,87.0,1.0,117396.0,1666306458.16345
103,31627.0,17085.0,86.0,1.0,117454.0,1666306458.2234488
104,31621.0,17069.0,86.0,1.0,119396.0,1666306460.1733794
105,31606.0,17069.0,86.0,1.0,119453.0,1666306460.2183394
106,31599.0,17068.0,87.0,1.0,121397.0,1666306462.1687253
107,31607.0,17062.0,87.0,1.0,121452.0,1666306462.2289908
108,31601.0,17053.0,87.0,1.0,123398.0,1666306464.179984
109,31648.0,17044.0,87.0,1.0,123452.0,1666306464.2233572
110,31601.0,17033.0,87.0,1.0,125397.0,1666306466.1735203
111,31571.0,17037.0,88.0,1.0,125453.0,1666306466.2343242
112,31627.0,17016.0,88.0,1.0,127395.0,1666306468.1694443
113,31591.0,17028.0,89.0,1.0,127455.0,1666306468.2292128
114,31599.0,17007.0,89.0,1.0,129395.0,1666306470.164023
115,31606.0,17017.0,89.0,1.0,129454.0,1666306470.2242846
116,31621.0,16994.0,89.0,1.0,131396.0,1666306472.173993
117,31593.0,17003.0,90.0,1.0,131453.0,1666306472.2338626
118,31645.0,16995.0,89.0,1.0,133397.0,1666306474.294959
119,31627.0,16979.0,89.0,1.0,133453.0,1666306474.3816907
120,31608.0,16982.0,90.0,1.0,135396.0,1666306476.4140625
121,31659.0,16981.0,89.0,1.0,135454.0,1666306476.5000362
122,31636.0,16969.0,89.0,1.0,137395.0,1666306478.297633
123,31613.0,16964.0,89.0,1.0,137455.0,1666306478.3844168
124,31664.0,16963.0,89.0,1.0,139395.0,1666306480.2974794
125,31605.0,16958.0,89.0,1.0,139454.0,1666306480.3846002
126,31708.0,16946.0,88.0,1.0,141396.0,1666306482.1801202
127,31621.0,16949.0,88.0,1.0,141453.0,1666306482.2391195
128,31572.0,16937.0,90.0,1.0,143397.0,1666306484.175118
129,31573.0,16933.0,91.0,1.0,143453.0,1666306484.2350042
130,31678.0,16933.0,90.0,1.0,145396.0,1666306486.1860409
131,31605.0,16927.0,91.0,1.0,145454.0,1666306486.2310233
132,31577.0,16913.0,92.0,1.0,147395.0,1666306488.178958
133,31583.0,16915.0,93.0,1.0,147455.0,1666306488.240142
134,31595.0,16906.0,94.0,1.0,149395.0,1666306490.1748362
135,31646.0,16905.0,93.0,1.0,149454.0,1666306490.2353342
136,31619.0,16887.0,93.0,1.0,151396.0,1666306492.185075
