,lux,timestamp,epoch
0,24.0,125150.0,1666366457.3090885
1,24.0,130150.0,1666366462.3050194
2,24.0,135150.0,1666366467.2991288
3,24.0,140150.0,1666366472.3102646
4,24.0,145150.0,1666366477.3057327
5,24.0,150150.0,1666366482.3158603
6,24.0,155150.0,1666366487.3110132
7,24.0,160150.0,1666366492.3201568
8,24.0,165150.0,1666366497.3164525
9,24.0,170150.0,1666366502.3261056
10,24.0,175150.0,1666366507.3726668
11,24.0,180150.0,1666366512.36687
12,24.0,185150.0,1666366517.3265922
13,24.0,190150.0,1666366522.3215377
14,23.0,195150.0,1666366527.332587
15,20.0,200150.0,1666366532.3276682
16,23.0,205150.0,1666366537.3372529
17,23.0,210150.0,1666366542.3327892
18,23.0,215150.0,1666366547.327635
19,23.0,220150.0,1666366552.3383384
20,23.0,225150.0,1666366557.3340244
21,23.0,230150.0,1666366562.343998
22,23.0,235150.0,1666366567.3390923
23,23.0,240150.0,1666366572.3998153
24,23.0,245150.0,1666366577.394839
25,23.0,250150.0,1666366582.3542297
26,23.0,255150.0,1666366587.3497176
27,24.0,260150.0,1666366592.345806
28,24.0,265150.0,1666366597.355682
29,24.0,270150.0,1666366602.3497853
30,24.0,275150.0,1666366607.3612366
31,24.0,280150.0,1666366612.3558977
32,24.0,285150.0,1666366617.3663032
33,23.0,290150.0,1666366622.3610308
34,23.0,295150.0,1666366627.3562436
35,23.0,300150.0,1666366632.3664813
36,23.0,305150.0,1666366637.4125917
37,23.0,310150.0,1666366642.4215653
38,23.0,315150.0,1666366647.3671527
39,23.0,320150.0,1666366652.3775647
40,23.0,325150.0,1666366657.3721752
41,23.0,330150.0,1666366662.383868
42,23.0,335150.0,1666366667.3796997
43,23.0,340150.0,1666366672.3730295
44,23.0,345150.0,1666366677.3832827
45,23.0,350150.0,1666366682.378496
46,23.0,355150.0,1666366687.389344
47,24.0,360150.0,1666366692.3835547
48,24.0,365150.0,1666366697.3945768
49,23.0,370150.0,1666366702.9194863
50,23.0,375150.0,1666366707.4509056
51,23.0,380150.0,1666366712.39472
52,23.0,385150.0,1666366717.390476
53,23.0,390150.0,1666366722.3996992
54,23.0,395150.0,1666366727.3951192
55,17.0,400150.0,1666366732.4050436
56,18.0,405150.0,1666366737.401285
57,19.0,410150.0,1666366742.4115574
58,22.0,415150.0,1666366747.4059618
59,23.0,420150.0,1666366752.4015586
60,22.0,425150.0,1666366757.411888
61,24.0,430150.0,1666366762.4063625
62,24.0,435150.0,1666366767.4665241
63,21.0,440150.0,1666366772.462793
64,23.0,445150.0,1666366777.4223175
65,23.0,450150.0,1666366782.4182365
66,22.0,455150.0,1666366787.42736
67,24.0,460150.0,1666366792.4369361
68,23.0,465150.0,1666366797.418186
69,23.0,470150.0,1666366802.4279397
70,24.0,475150.0,1666366807.4236412
71,24.0,480150.0,1666366812.4337904
72,23.0,485150.0,1666366817.4298048
73,23.0,490150.0,1666366822.4391894
74,23.0,495150.0,1666366827.449757
75,23.0,500150.0,1666366832.4294844
76,23.0,505150.0,1666366838.0455406
77,23.0,510150.0,1666366842.4353738
78,23.0,515150.0,1666366847.4458046
79,23.0,520150.0,1666366852.4407241
80,23.0,525150.0,1666366857.4499605
81,23.0,530150.0,1666366862.4446776
82,23.0,535150.0,1666366867.4561045
83,23.0,540150.0,1666366872.4512448
84,23.0,545150.0,1666366877.4461386
85,23.0,550150.0,1666366882.5008297
86,23.0,555150.0,1666366887.4516277
87,23.0,560150.0,1666366892.4620445
88,23.0,565150.0,1666366897.4573867
89,23.0,570150.0,1666366902.5179374
90,23.0,575150.0,1666366907.462529
91,23.0,580150.0,1666366912.47252
92,23.0,585150.0,1666366917.4676526
93,23.0,590150.0,1666366922.4629097
94,23.0,595150.0,1666366927.4761298
95,23.0,600150.0,1666366932.4677455
96,23.0,605150.0,1666366937.479501
97,23.0,610150.0,1666366942.473483
98,23.0,615150.0,1666366947.4847798
99,23.0,620151.0,1666366952.5393097
100,23.0,625152.0,1666367005.4757519
101,23.0,630152.0,1666367010.4721553
102,24.0,635152.0,1666367015.466982
103,24.0,640152.0,1666367020.4868822
104,24.0,645152.0,1666367025.4718719
105,23.0,650152.0,1666367030.5314884
106,23.0,655152.0,1666367035.5279284
107,24.0,660152.0,1666367040.4869564
108,24.0,665152.0,1666367045.4827943
109,24.0,670152.0,1666367050.4936874
110,24.0,675152.0,1666367055.4896915
111,24.0,680152.0,1666367060.4866543
