,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31542.0,14534.0,70.0,1.0,83515402.0,1666292596.8650987
1,31580.0,14528.0,70.0,1.0,83515457.0,1666292596.909319
2,31604.0,14530.0,70.0,1.0,83517402.0,1666292598.8591938
3,31565.0,14530.0,70.0,1.0,83517457.0,1666292598.9040227
4,31558.0,14534.0,70.0,1.0,83519402.0,1666292600.8545907
5,31649.0,14530.0,70.0,1.0,83519457.0,1666292600.9145918
6,31606.0,14516.0,70.0,1.0,83521402.0,1666292602.8653138
7,31583.0,14517.0,70.0,1.0,83521457.0,1666292602.9103787
8,31568.0,14509.0,70.0,1.0,83523402.0,1666292604.860353
9,31576.0,14508.0,70.0,1.0,83523457.0,1666292604.9201097
10,31624.0,14550.0,70.0,1.0,83525402.0,1666292606.8552778
11,31651.0,14549.0,70.0,1.0,83525457.0,1666292606.9158258
12,31598.0,14547.0,70.0,1.0,83527402.0,1666292608.865604
13,31652.0,14551.0,70.0,1.0,83527457.0,1666292608.925369
14,31686.0,14545.0,69.0,1.0,83529402.0,1666292610.85983
15,31562.0,14548.0,69.0,1.0,83529457.0,1666292610.9203858
16,31559.0,14551.0,70.0,1.0,83531402.0,1666292612.8557985
17,31606.0,14550.0,70.0,1.0,83531457.0,1666292612.9154253
18,31647.0,14556.0,69.0,1.0,83533402.0,1666292614.879827
19,31609.0,14558.0,69.0,1.0,83533457.0,1666292614.925325
20,31541.0,14554.0,70.0,1.0,83535402.0,1666292616.8605044
21,31529.0,14556.0,70.0,1.0,83535457.0,1666292616.9205043
22,31567.0,14548.0,70.0,1.0,83537402.0,1666292618.8700125
23,31596.0,14547.0,70.0,1.0,83537457.0,1666292618.9158795
24,31568.0,14553.0,70.0,1.0,83539402.0,1666292620.8679855
25,31567.0,14550.0,70.0,1.0,83539457.0,1666292620.925986
26,31548.0,14547.0,70.0,1.0,83541402.0,1666292622.8610325
27,31567.0,14551.0,70.0,1.0,83541457.0,1666292622.92023
28,31561.0,14554.0,70.0,1.0,83543402.0,1666292624.9776814
29,31615.0,14554.0,70.0,1.0,83543457.0,1666292625.0626776
30,31590.0,14549.0,70.0,1.0,83545402.0,1666292627.036483
31,31617.0,14555.0,70.0,1.0,83545457.0,1666292627.121481
32,31698.0,14552.0,70.0,1.0,83547402.0,1666292628.9655988
33,31590.0,14552.0,70.0,1.0,83547457.0,1666292629.0494766
34,31640.0,14548.0,70.0,1.0,83549402.0,1666292630.975697
35,31608.0,14551.0,70.0,1.0,83549457.0,1666292631.0614219
36,31607.0,14552.0,70.0,1.0,83551402.0,1666292632.8667727
37,31573.0,14553.0,70.0,1.0,83551457.0,1666292632.9257624
38,31578.0,14554.0,70.0,1.0,83553402.0,1666292634.876669
39,31583.0,14548.0,70.0,1.0,83553457.0,1666292634.9216688
40,31586.0,14558.0,70.0,1.0,83555402.0,1666292636.8719504
41,31558.0,14559.0,70.0,1.0,83555457.0,1666292636.93201
42,31635.0,14559.0,70.0,1.0,83557402.0,1666292638.8667579
43,31580.0,14564.0,70.0,1.0,83557457.0,1666292638.9257567
44,31579.0,14557.0,70.0,1.0,83559402.0,1666292640.8767931
45,31572.0,14552.0,70.0,1.0,83559457.0,1666292640.9210138
46,31609.0,14544.0,70.0,1.0,83561402.0,1666292642.871558
47,31559.0,14548.0,70.0,1.0,83561457.0,1666292642.9314811
