,_415,_445,_480,_515,_clear_1,_nir_1,_555,_590,_630,_680,_clear_2,_nir_2,flicker,timestamp,epoch
0,91.0,172.0,179.0,225.0,2040.0,310.0,888.0,747.0,1062.0,296.0,2037.0,308.0,1.0,10098091.0,1666219152.35314
1,91.0,174.0,179.0,225.0,2039.0,310.0,891.0,751.0,1065.0,298.0,2043.0,308.0,1.0,10102989.0,1666219157.3261864
2,90.0,173.0,179.0,224.0,2036.0,308.0,886.0,749.0,1060.0,296.0,2034.0,308.0,1.0,10108112.0,1666219162.3569458
3,90.0,173.0,178.0,224.0,2032.0,308.0,886.0,747.0,1060.0,296.0,2033.0,308.0,1.0,10112989.0,1666219167.3658721
4,95.0,181.0,186.0,236.0,2097.0,316.0,930.0,783.0,1113.0,311.0,2096.0,314.0,1.0,10118091.0,1666219172.3472605
5,90.0,172.0,178.0,224.0,2039.0,310.0,886.0,747.0,1060.0,296.0,2034.0,310.0,1.0,10123009.0,1666219177.3562565
6,90.0,172.0,178.0,224.0,2035.0,308.0,887.0,747.0,1059.0,296.0,2036.0,310.0,1.0,10128091.0,1666219182.366383
7,90.0,173.0,179.0,224.0,2034.0,308.0,887.0,747.0,1059.0,296.0,2035.0,308.0,1.0,10132989.0,1666219188.226637
8,90.0,172.0,179.0,224.0,2031.0,308.0,885.0,746.0,1058.0,296.0,2033.0,308.0,1.0,10138111.0,1666219192.4489477
9,90.0,171.0,178.0,223.0,2032.0,308.0,885.0,747.0,1058.0,295.0,2030.0,308.0,1.0,10142989.0,1666219197.362777
10,91.0,172.0,178.0,224.0,2032.0,308.0,886.0,747.0,1060.0,296.0,2033.0,308.0,1.0,10148091.0,1666219202.3474293
11,90.0,172.0,178.0,223.0,2031.0,308.0,886.0,746.0,1058.0,295.0,2031.0,306.0,1.0,10153010.0,1666219207.3719506
12,90.0,173.0,179.0,224.0,2033.0,310.0,886.0,746.0,1058.0,295.0,2033.0,308.0,1.0,10158091.0,1666219212.3676722
13,90.0,173.0,179.0,225.0,2036.0,310.0,885.0,746.0,1058.0,296.0,2033.0,307.0,1.0,10162989.0,1666219217.3622792
14,90.0,171.0,178.0,223.0,2030.0,308.0,885.0,746.0,1057.0,296.0,2029.0,308.0,1.0,10168111.0,1666219222.3720155
15,95.0,181.0,186.0,235.0,2091.0,316.0,931.0,785.0,1113.0,311.0,2095.0,314.0,1.0,10172989.0,1666219227.3780954
16,92.0,176.0,182.0,228.0,2054.0,310.0,889.0,750.0,1064.0,297.0,2039.0,310.0,1.0,10178091.0,1666219232.6536696
17,91.0,173.0,180.0,224.0,2040.0,310.0,932.0,785.0,1114.0,312.0,2097.0,316.0,1.0,10183009.0,1666219237.3881257
18,95.0,182.0,188.0,235.0,2096.0,314.0,892.0,751.0,1068.0,298.0,2048.0,310.0,1.0,10188091.0,1666219242.383313
