,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31520.0,14608.0,89.0,1.0,84425402.0,1666293507.206923
1,31541.0,14608.0,89.0,1.0,84425457.0,1666293507.2369204
2,31578.0,14613.0,89.0,1.0,84427402.0,1666293509.1869202
3,31567.0,14615.0,89.0,1.0,84427457.0,1666293509.2309184
4,31572.0,14608.0,89.0,1.0,84429402.0,1666293511.18192
5,31582.0,14616.0,89.0,1.0,84429457.0,1666293511.2419212
6,31586.0,14608.0,89.0,1.0,84431402.0,1666293513.175924
7,31659.0,14603.0,88.0,1.0,84431457.0,1666293513.235923
8,31569.0,14602.0,88.0,1.0,84433402.0,1666293515.186919
9,31589.0,14609.0,88.0,1.0,84433457.0,1666293515.2469218
10,31554.0,14599.0,88.0,1.0,84435402.0,1666293517.1809206
11,31584.0,14598.0,88.0,1.0,84435457.0,1666293517.2409308
12,31579.0,14603.0,88.0,1.0,84437402.0,1666293519.1919193
13,31563.0,14600.0,88.0,1.0,84437457.0,1666293519.2359254
14,31542.0,14598.0,88.0,1.0,84439402.0,1666293521.1869195
15,31589.0,14598.0,88.0,1.0,84439457.0,1666293521.245919
16,31593.0,14603.0,87.0,1.0,84441402.0,1666293523.181921
17,31562.0,14601.0,87.0,1.0,84441457.0,1666293523.2449193
18,31586.0,14600.0,87.0,1.0,84443402.0,1666293525.1929195
19,31546.0,14605.0,87.0,1.0,84443457.0,1666293525.236923
20,31592.0,14597.0,87.0,1.0,84445402.0,1666293527.1869202
21,31560.0,14600.0,87.0,1.0,84445457.0,1666293527.246921
22,31645.0,14596.0,87.0,1.0,84447402.0,1666293529.1819205
23,31583.0,14592.0,86.0,1.0,84447457.0,1666293529.2429194
24,31657.0,14597.0,86.0,1.0,84449402.0,1666293531.1919186
25,31597.0,14598.0,86.0,1.0,84449457.0,1666293531.2379236
26,31562.0,14603.0,86.0,1.0,84451402.0,1666293533.18692
27,31573.0,14598.0,86.0,1.0,84451457.0,1666293533.2469215
28,31591.0,14602.0,85.0,1.0,84453402.0,1666293535.19692
29,31576.0,14602.0,85.0,1.0,84453457.0,1666293535.241924
30,31566.0,14622.0,85.0,1.0,84455402.0,1666293537.1929197
31,31566.0,14617.0,85.0,1.0,84455457.0,1666293537.2529194
32,31532.0,14619.0,85.0,1.0,84457402.0,1666293539.1876445
33,31554.0,14615.0,85.0,1.0,84457457.0,1666293539.2476444
34,31579.0,14614.0,85.0,1.0,84459402.0,1666293541.3056462
35,31583.0,14614.0,85.0,1.0,84459457.0,1666293541.3906798
36,31553.0,14612.0,85.0,1.0,84461402.0,1666293543.310929
37,31549.0,14617.0,85.0,1.0,84461457.0,1666293543.3979263
38,31560.0,14613.0,85.0,1.0,84463402.0,1666293545.3034234
39,31565.0,14613.0,85.0,1.0,84463457.0,1666293545.3894234
40,31554.0,14610.0,85.0,1.0,84465402.0,1666293547.3513913
