,descriptor,timestamp,ambientRaw,objectRaw,ambientTemp,objectTemp,epoch
0,1.0,83411153.0,13413.0,64626.0,296.8767395019531,297.22723388671875,1666292492.825124
1,2.0,83411154.0,13956.0,64512.0,297.9581298828125,298.137939453125,1666292492.825124
2,3.0,83411156.0,13124.0,64459.0,297.2372131347656,297.2530517578125,1666292492.825124
3,4.0,83411157.0,13154.0,64420.0,297.2895202636719,296.7596130371094,1666292492.825124
4,5.0,83411159.0,13649.0,64420.0,296.77789306640625,296.5788879394531,1666292492.825124
5,1.0,83412153.0,13412.0,64626.0,296.87091064453125,297.2214050292969,1666292493.8309238
6,2.0,83412155.0,13958.0,64515.0,297.9697570800781,298.1573486328125,1666292493.8309238
7,3.0,83412156.0,13125.0,64457.0,297.2430114746094,297.2535705566406,1666292493.8309238
8,4.0,83412158.0,13154.0,64441.0,297.2895202636719,296.8186340332031,1666292493.8309238
9,5.0,83412160.0,13646.0,64456.0,296.7604675292969,296.66534423828125,1666292493.8309238
10,1.0,83413153.0,13413.0,64621.0,296.8767395019531,297.2147216796875,1666292495.0465078
11,2.0,83413155.0,13956.0,64504.0,297.9581298828125,298.11712646484375,1666292495.0465078
12,3.0,83413156.0,13126.0,64462.0,297.24884033203125,297.2725830078125,1666292495.0465078
13,4.0,83413158.0,13158.0,64446.0,297.3127746582031,296.85601806640625,1666292495.0465078
14,5.0,83413160.0,13645.0,64462.0,296.754638671875,296.67681884765625,1666292495.0465078
15,1.0,83414153.0,13412.0,64614.0,296.87091064453125,297.19140625,1666292495.824188
16,2.0,83414154.0,13955.0,64498.0,297.95233154296875,298.095703125,1666292495.824188
17,3.0,83414156.0,13125.0,64459.0,297.2430114746094,297.25885009765625,1666292495.824188
18,4.0,83414157.0,13155.0,64438.0,297.29534912109375,296.8160400390625,1666292495.824188
19,5.0,83414159.0,13647.0,64449.0,296.7662658691406,296.65093994140625,1666292495.824188
20,1.0,83415164.0,13415.0,64624.0,296.88836669921875,297.23382568359375,1666292496.8757396
21,2.0,83415165.0,13956.0,64501.0,297.9581298828125,298.10931396484375,1666292496.8757396
22,3.0,83415167.0,13126.0,64463.0,297.24884033203125,297.27520751953125,1666292496.8757396
23,4.0,83415169.0,13152.0,64442.0,297.27789306640625,296.80975341796875,1666292496.8757396
24,5.0,83415171.0,13649.0,64455.0,296.77789306640625,296.6799011230469,1666292496.8757396
25,1.0,83416153.0,13413.0,64623.0,296.8767395019531,297.2197265625,1666292497.8195186
26,2.0,83416154.0,13955.0,64505.0,297.95233154296875,298.1139221191406,1666292497.8195186
27,3.0,83416156.0,13128.0,64459.0,297.2604675292969,297.27630615234375,1666292497.8195186
28,4.0,83416157.0,13153.0,64423.0,297.2837219238281,296.76220703125,1666292497.8195186
29,5.0,83416159.0,13648.0,64422.0,296.7720947265625,296.578857421875,1666292497.8195186
