,descriptor,timestamp,ambientRaw,objectRaw,ambientTemp,objectTemp,epoch
0,1.0,90628153.0,13397.0,64720.0,296.7837219238281,297.369384765625,1666299712.4006708
1,2.0,90628155.0,13923.0,64554.0,297.7662658691406,298.0558776855469,1666299712.4006708
2,3.0,90628156.0,13111.0,64443.0,297.16162109375,297.1352844238281,1666299712.4006708
3,4.0,90628158.0,13141.0,64440.0,297.2139587402344,296.73992919921875,1666299712.4006708
4,5.0,90628160.0,13633.0,64449.0,296.68487548828125,296.5694580078125,1666299712.4006708
5,1.0,90629153.0,13397.0,64717.0,296.7837219238281,297.36187744140625,1666299713.390094
6,2.0,90629154.0,13924.0,64546.0,297.7720947265625,298.0408630371094,1666299713.390094
7,3.0,90629156.0,13111.0,64440.0,297.16162109375,297.12738037109375,1666299713.390094
8,4.0,90629157.0,13148.0,64443.0,297.254638671875,296.7892150878906,1666299713.390094
9,5.0,90629159.0,13633.0,64455.0,296.68487548828125,296.5867919921875,1666299713.390094
10,1.0,90630164.0,13395.0,64717.0,296.7720947265625,297.3503112792969,1666299714.440091
11,2.0,90630165.0,13920.0,64547.0,297.74884033203125,298.020263671875,1666299714.440091
12,3.0,90630167.0,13110.0,64440.0,297.15582275390625,297.12158203125,1666299714.440091
13,4.0,90630169.0,13142.0,64439.0,297.2197570800781,296.742919921875,1666299714.440091
14,5.0,90630171.0,13633.0,64450.0,296.68487548828125,296.5723571777344,1666299714.440091
15,1.0,90631153.0,13398.0,64721.0,296.7895202636719,297.37762451171875,1666299715.6010866
16,2.0,90631154.0,13923.0,64544.0,297.7662658691406,298.0298156738281,1666299715.6010866
17,3.0,90631156.0,13109.0,64440.0,297.1499938964844,297.1157531738281,1666299715.6010866
18,4.0,90631157.0,13143.0,64441.0,297.2255859375,296.7544250488281,1666299715.6010866
19,5.0,90631159.0,13632.0,64452.0,296.6790771484375,296.57232666015625,1666299715.6010866
20,1.0,90632153.0,13395.0,64718.0,296.7720947265625,297.3528137207031,1666299716.3891845
21,2.0,90632155.0,13924.0,64541.0,297.7720947265625,298.02783203125,1666299716.3891845
22,3.0,90632156.0,13111.0,64439.0,297.16162109375,297.124755859375,1666299716.3891845
23,4.0,90632158.0,13141.0,64439.0,297.2139587402344,296.73712158203125,1666299716.3891845
24,5.0,90632160.0,13636.0,64451.0,296.70233154296875,296.59271240234375,1666299716.3891845
