,lux,timestamp,epoch
0,57.0,15150.0,1666382422.5882719
1,58.0,20150.0,1666382427.5835063
2,57.0,25150.0,1666382432.580242
3,60.0,30150.0,1666382437.5890505
4,59.0,35150.0,1666382442.5848632
5,59.0,40150.0,1666382447.645365
6,59.0,45150.0,1666382452.6557033
7,59.0,50150.0,1666382457.5996754
8,59.0,55150.0,1666382462.5956407
9,59.0,60150.0,1666382467.6060748
10,59.0,65150.0,1666382472.600075
11,59.0,70150.0,1666382477.5950723
12,59.0,75150.0,1666382482.6063902
13,59.0,80150.0,1666382487.6013887
14,59.0,85150.0,1666382492.6113894
15,59.0,90150.0,1666382497.6063888
16,59.0,95150.0,1666382502.6173892
17,59.0,100150.0,1666382507.6253989
18,59.0,105150.0,1666382512.6574
19,59.0,110150.0,1666382517.6683884
20,59.0,115150.0,1666382522.6123927
21,59.0,120150.0,1666382527.6233873
22,59.0,125150.0,1666382532.618389
23,59.0,130150.0,1666382537.628389
24,59.0,135150.0,1666382542.6233885
25,59.0,140150.0,1666382547.6333907
26,59.0,145150.0,1666382552.6283925
27,59.0,150150.0,1666382557.6244
28,59.0,155150.0,1666382562.6363978
29,59.0,160150.0,1666382567.6293888
30,59.0,165150.0,1666382572.6543896
31,59.0,170150.0,1666382577.6843877
32,59.0,175150.0,1666382582.6933987
33,59.0,180150.0,1666382587.6392121
34,59.0,185150.0,1666382592.635692
35,59.0,190150.0,1666382597.6451762
36,59.0,195150.0,1666382602.640641
37,59.0,200150.0,1666382607.6667137
38,59.0,205150.0,1666382612.6457527
39,59.0,210150.0,1666382617.6563678
40,59.0,215150.0,1666382622.6513486
41,59.0,220150.0,1666382627.6611538
42,59.0,225150.0,1666382632.6563337
43,59.0,230150.0,1666382637.6521964
44,59.0,235150.0,1666382643.1841435
45,59.0,240150.0,1666382647.7076962
46,59.0,245150.0,1666382652.6669507
47,59.0,250150.0,1666382657.662365
48,58.0,255150.0,1666382662.6734765
49,59.0,260150.0,1666382667.6683538
50,59.0,265150.0,1666382672.6632252
51,59.0,270150.0,1666382677.673105
52,59.0,275150.0,1666382682.668132
53,58.0,280150.0,1666382687.678795
54,59.0,285150.0,1666382692.6735506
55,59.0,290150.0,1666382697.6839437
56,58.0,295150.0,1666382702.6792436
57,41.0,300150.0,1666382707.7406583
58,537.0,8783.0,1666384102.4435806
59,537.0,13783.0,1666384107.4230642
60,537.0,18783.0,1666384112.7157576
61,537.0,23783.0,1666384117.4283135
62,537.0,28783.0,1666384122.4231665
63,537.0,33783.0,1666384127.4191334
64,537.0,38783.0,1666384132.4286764
65,537.0,43784.0,1666384156.8861806
66,537.0,48784.0,1666384161.831065
67,537.0,8783.0,1666384259.3295236
68,537.0,13783.0,1666384264.2949138
69,537.0,18783.0,1666384269.6223035
70,537.0,23783.0,1666384274.2993896
71,537.0,28783.0,1666384279.3099213
72,537.0,33783.0,1666384284.35569
73,537.0,38783.0,1666384289.3149984
74,537.0,43783.0,1666384294.3100288
75,537.0,48783.0,1666384299.3060853
76,537.0,53783.0,1666384304.3149312
77,537.0,58783.0,1666384309.311224
78,537.0,63783.0,1666384314.6314878
79,537.0,68783.0,1666384319.3164167
