,_415,_445,_480,_515,_clear_1,_nir_1,_555,_590,_630,_680,_clear_2,_nir_2,flicker,timestamp,epoch
0,91.0,175.0,181.0,228.0,2049.0,310.0,896.0,754.0,1072.0,300.0,2050.0,310.0,1.0,10298091.0,1666219352.4797194
1,91.0,175.0,181.0,227.0,2051.0,310.0,893.0,751.0,1068.0,299.0,2046.0,310.0,1.0,10303009.0,1666219357.5006588
2,91.0,175.0,181.0,226.0,2046.0,310.0,893.0,752.0,1068.0,299.0,2048.0,310.0,1.0,10308091.0,1666219362.4332914
3,92.0,175.0,181.0,226.0,2049.0,310.0,891.0,751.0,1067.0,299.0,2045.0,311.0,1.0,10312989.0,1666219367.668127
4,91.0,174.0,180.0,226.0,2045.0,310.0,893.0,751.0,1069.0,300.0,2047.0,310.0,1.0,10318111.0,1666219372.423499
5,92.0,174.0,180.0,226.0,2049.0,310.0,895.0,753.0,1070.0,299.0,2049.0,310.0,1.0,10322989.0,1666219377.4299433
6,91.0,175.0,180.0,226.0,2048.0,310.0,891.0,750.0,1066.0,298.0,2045.0,310.0,1.0,10328091.0,1666219382.413316
7,91.0,175.0,180.0,226.0,2044.0,310.0,893.0,751.0,1067.0,299.0,2045.0,310.0,1.0,10333010.0,1666219387.439442
8,91.0,174.0,180.0,225.0,2044.0,310.0,892.0,751.0,1067.0,298.0,2047.0,310.0,1.0,10338091.0,1666219392.439744
9,91.0,175.0,180.0,225.0,2043.0,310.0,892.0,752.0,1067.0,299.0,2047.0,310.0,1.0,10342989.0,1666219397.410792
10,96.0,182.0,187.0,235.0,2093.0,314.0,931.0,787.0,1112.0,313.0,2097.0,316.0,1.0,10348111.0,1666219402.4397314
11,94.0,179.0,184.0,231.0,2073.0,312.0,928.0,784.0,1107.0,311.0,2088.0,314.0,1.0,10352989.0,1666219407.4500244
12,94.0,180.0,185.0,233.0,2077.0,312.0,918.0,773.0,1099.0,308.0,2078.0,314.0,1.0,10358091.0,1666219412.7061663
13,94.0,180.0,185.0,233.0,2079.0,314.0,918.0,774.0,1100.0,308.0,2079.0,314.0,1.0,10363009.0,1666219417.5178642
14,94.0,180.0,186.0,233.0,2081.0,312.0,917.0,772.0,1098.0,307.0,2077.0,312.0,1.0,10368091.0,1666219422.7671573
15,93.0,179.0,183.0,232.0,2074.0,312.0,915.0,771.0,1096.0,307.0,2075.0,312.0,1.0,10372989.0,1666219427.4307125
16,94.0,180.0,185.0,232.0,2076.0,312.0,916.0,773.0,1097.0,307.0,2078.0,312.0,1.0,10378112.0,1666219432.456471
17,93.0,179.0,185.0,233.0,2072.0,312.0,925.0,781.0,1104.0,310.0,2081.0,312.0,1.0,10382989.0,1666219437.4470098
18,95.0,181.0,186.0,234.0,2081.0,312.0,924.0,780.0,1102.0,310.0,2081.0,310.0,1.0,10388091.0,1666219442.4319026
