,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31666.0,14530.0,81.0,1.0,83411402.0,1666292492.9219928
1,31645.0,14519.0,81.0,1.0,83411457.0,1666292493.006035
2,31625.0,14529.0,81.0,1.0,83413402.0,1666292495.1385422
3,31580.0,14525.0,81.0,1.0,83413457.0,1666292495.2238894
4,31660.0,14529.0,80.0,1.0,83415402.0,1666292496.9721107
5,31668.0,14525.0,80.0,1.0,83415457.0,1666292497.0586112
6,31634.0,14530.0,80.0,1.0,83417402.0,1666292498.917829
7,31689.0,14525.0,79.0,1.0,83417457.0,1666292499.002123
8,31675.0,14528.0,79.0,1.0,83419402.0,1666292500.8164206
9,31681.0,14537.0,79.0,1.0,83419457.0,1666292500.8764093
10,31676.0,14534.0,78.0,1.0,83421402.0,1666292502.826158
11,31670.0,14538.0,78.0,1.0,83421457.0,1666292502.8708434
12,31653.0,14537.0,77.0,1.0,83423402.0,1666292504.8202658
13,31628.0,14535.0,77.0,1.0,83423457.0,1666292504.8804383
14,31631.0,14524.0,77.0,1.0,83425402.0,1666292506.8472152
15,31625.0,14526.0,77.0,1.0,83425457.0,1666292506.875799
16,31592.0,14522.0,76.0,1.0,83427402.0,1666292508.826081
17,31623.0,14522.0,76.0,1.0,83427457.0,1666292508.8868802
18,31668.0,14525.0,76.0,1.0,83429402.0,1666292510.821049
19,31618.0,14528.0,76.0,1.0,83429457.0,1666292510.8809154
20,31683.0,14528.0,75.0,1.0,83431402.0,1666292512.831559
21,31643.0,14529.0,75.0,1.0,83431457.0,1666292512.8765585
22,31642.0,14528.0,74.0,1.0,83433402.0,1666292514.8268008
23,31711.0,14529.0,74.0,1.0,83433457.0,1666292514.917292
24,31672.0,14535.0,73.0,1.0,83435402.0,1666292516.8217878
25,31681.0,14538.0,73.0,1.0,83435457.0,1666292516.8820012
26,31669.0,14535.0,72.0,1.0,83437402.0,1666292518.8316875
27,31627.0,14531.0,72.0,1.0,83437457.0,1666292518.877689
28,31646.0,14536.0,72.0,1.0,83439402.0,1666292520.8268652
29,31778.0,14534.0,71.0,1.0,83439457.0,1666292520.8868554
30,31603.0,14541.0,71.0,1.0,83441402.0,1666292522.8369954
31,31637.0,14541.0,70.0,1.0,83441457.0,1666292522.8813095
32,31614.0,14546.0,70.0,1.0,83443402.0,1666292524.8324375
33,31629.0,14547.0,70.0,1.0,83443457.0,1666292524.8924375
34,31666.0,14558.0,70.0,1.0,83445402.0,1666292526.8273878
35,31598.0,14559.0,70.0,1.0,83445457.0,1666292526.8876064
36,31645.0,14551.0,69.0,1.0,83447402.0,1666292528.8368506
37,31689.0,14558.0,69.0,1.0,83447457.0,1666292528.882109
38,31616.0,14554.0,69.0,1.0,83449402.0,1666292530.8320553
39,31656.0,14554.0,69.0,1.0,83449457.0,1666292530.8916056
40,31619.0,14555.0,68.0,1.0,83451402.0,1666292532.8270144
41,31650.0,14563.0,68.0,1.0,83451457.0,1666292532.8876371
42,31634.0,14557.0,68.0,1.0,83453402.0,1666292534.8369222
43,31678.0,14564.0,68.0,1.0,83453457.0,1666292534.8829327
44,31622.0,14553.0,67.0,1.0,83455402.0,1666292536.847984
45,31619.0,14545.0,67.0,1.0,83455457.0,1666292536.891983
46,31600.0,14551.0,67.0,1.0,83457402.0,1666292538.857881
47,31638.0,14547.0,67.0,1.0,83457457.0,1666292538.8881834
48,31585.0,14551.0,67.0,1.0,83459402.0,1666292540.8372464
49,31630.0,14551.0,67.0,1.0,83459457.0,1666292540.8972642
50,31593.0,14552.0,67.0,1.0,83461402.0,1666292542.8331828
51,31583.0,14548.0,68.0,1.0,83461457.0,1666292542.8921437
52,31595.0,14552.0,68.0,1.0,83463402.0,1666292544.8583908
53,31604.0,14558.0,68.0,1.0,83463457.0,1666292544.8881993
54,31603.0,14536.0,68.0,1.0,83465402.0,1666292546.839123
55,31619.0,14543.0,68.0,1.0,83465457.0,1666292546.8971212
56,31575.0,14539.0,68.0,1.0,83467402.0,1666292548.8325152
57,31577.0,14534.0,68.0,1.0,83467457.0,1666292548.893286
58,31575.0,14537.0,68.0,1.0,83469402.0,1666292550.8431644
59,31578.0,14537.0,68.0,1.0,83469457.0,1666292550.8881524
60,31605.0,14535.0,68.0,1.0,83471402.0,1666292552.8383796
61,31615.0,14534.0,68.0,1.0,83471457.0,1666292552.8983698
62,31599.0,14534.0,68.0,1.0,83473402.0,1666292554.8482494
63,31588.0,14536.0,68.0,1.0,83473457.0,1666292554.8930094
64,31592.0,14536.0,68.0,1.0,83475402.0,1666292556.8436067
65,31578.0,14534.0,68.0,1.0,83475457.0,1666292556.9031527
66,31611.0,14527.0,68.0,1.0,83477402.0,1666292558.9480867
67,31648.0,14533.0,68.0,1.0,83477457.0,1666292559.0310385
68,31593.0,14530.0,68.0,1.0,83479402.0,1666292560.9609141
69,31603.0,14526.0,68.0,1.0,83479457.0,1666292561.045635
70,31562.0,14530.0,68.0,1.0,83481402.0,1666292562.9591048
71,31577.0,14533.0,68.0,1.0,83481457.0,1666292563.0451224
72,31607.0,14532.0,68.0,1.0,83483402.0,1666292564.952747
73,31605.0,14531.0,68.0,1.0,83483457.0,1666292565.0371134
74,31586.0,14529.0,68.0,1.0,83485402.0,1666292566.8494387
75,31561.0,14525.0,68.0,1.0,83485457.0,1666292566.9079823
76,31627.0,14523.0,68.0,1.0,83487402.0,1666292568.858951
77,31564.0,14520.0,68.0,1.0,83487457.0,1666292568.9039507
78,31566.0,14531.0,69.0,1.0,83489402.0,1666292570.8849373
79,31535.0,14530.0,69.0,1.0,83489457.0,1666292570.9102888
80,31545.0,14545.0,69.0,1.0,83491402.0,1666292572.8488462
81,31614.0,14544.0,69.0,1.0,83491457.0,1666292572.907845
82,31555.0,14548.0,69.0,1.0,83493402.0,1666292574.8447306
83,31559.0,14547.0,69.0,1.0,83493457.0,1666292574.9037714
84,31553.0,14551.0,69.0,1.0,83495402.0,1666292576.8547232
85,31539.0,14548.0,69.0,1.0,83495457.0,1666292576.8995187
86,31536.0,14545.0,69.0,1.0,83497402.0,1666292578.8490665
87,31521.0,14542.0,69.0,1.0,83497457.0,1666292578.909072
88,31579.0,14543.0,69.0,1.0,83499402.0,1666292580.844852
89,31527.0,14547.0,69.0,1.0,83499457.0,1666292580.9046113
90,31506.0,14542.0,69.0,1.0,83501402.0,1666292582.8539555
91,31539.0,14544.0,69.0,1.0,83501457.0,1666292582.899391
92,31591.0,14545.0,69.0,1.0,83503402.0,1666292584.8490636
93,31595.0,14536.0,69.0,1.0,83503457.0,1666292584.909062
94,31553.0,14542.0,69.0,1.0,83505402.0,1666292586.860192
95,31546.0,14550.0,69.0,1.0,83505457.0,1666292586.904214
96,31514.0,14551.0,69.0,1.0,83507402.0,1666292588.8548124
97,31610.0,14546.0,69.0,1.0,83507457.0,1666292588.9151437
98,31541.0,14547.0,69.0,1.0,83509402.0,1666292590.849474
99,31632.0,14546.0,69.0,1.0,83509457.0,1666292590.9100883
100,31553.0,14536.0,69.0,1.0,83511402.0,1666292592.8599107
101,31562.0,14538.0,70.0,1.0,83511457.0,1666292592.9052448
