,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
208,296.2728271484375,,,,,,,
209,1664398279.043461,,,,,,,
210,1.0,,,,,,,
211,530146.0,,,,,,,
212,13084.0,,,,,,,
213,64490.0,,,,,,,
214,294.9639587402344,,,,,,,
215,294.9742126464844,,,,,,,
216,1664398280.043916,,,,,,,
217,2.0,,,,,,,
218,530147.0,,,,,,,
219,13502.0,,,,,,,
220,64483.0,,,,,,,
221,295.318603515625,,,,,,,
222,295.425537109375,,,,,,,
223,1664398280.050289,,,,,,,
224,3.0,,,,,,,
225,530149.0,,,,,,,
226,12752.0,,,,,,,
227,65096.0,,,,,,,
228,295.07440185546875,,,,,,,
229,296.7895812988281,,,,,,,
230,1664398280.0563142,,,,,,,
231,4.0,,,,,,,
232,530150.0,,,,,,,
233,12808.0,,,,,,,
234,65078.0,,,,,,,
235,295.27789306640625,,,,,,,
236,296.6064758300781,,,,,,,
237,1664398280.061148,,,,,,,
238,5.0,,,,,,,
239,530152.0,,,,,,,
240,13278.0,,,,,,,
241,65060.0,,,,,,,
242,294.62091064453125,,,,,,,
243,296.28729248046875,,,,,,,
244,1664398280.0635982,,,,,,,
245,1.0,,,,,,,
246,531146.0,,,,,,,
247,13085.0,,,,,,,
248,64490.0,,,,,,,
249,294.9697570800781,,,,,,,
250,294.9800109863281,,,,,,,
251,1664398281.034206,,,,,,,
252,2.0,,,,,,,
253,531147.0,,,,,,,
254,13502.0,,,,,,,
255,64483.0,,,,,,,
256,295.318603515625,,,,,,,
257,295.425537109375,,,,,,,
258,1664398281.039679,,,,,,,
259,3.0,,,,,,,
260,531149.0,,,,,,,
261,12753.0,,,,,,,
262,65107.0,,,,,,,
263,295.0802307128906,,,,,,,
264,296.82440185546875,,,,,,,
265,1664398281.045847,,,,,,,
266,4.0,,,,,,,
267,531150.0,,,,,,,
268,12806.0,,,,,,,
269,65095.0,,,,,,,
270,295.2662658691406,,,,,,,
271,296.6428527832031,,,,,,,
272,1664398281.051702,,,,,,,
273,5.0,,,,,,,
274,531151.0,,,,,,,
275,13283.0,,,,,,,
276,65081.0,,,,,,,
277,294.6499938964844,,,,,,,
278,296.376708984375,,,,,,,
279,1664398281.05613,,,,,,,
