,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31104.0,15775.0,184.0,2.0,58693396.0,1666365057.3691885
1,31117.0,15774.0,186.0,2.0,58693454.0,1666365057.4299006
2,31193.0,15687.0,186.0,2.0,58695395.0,1666365059.379906
3,31167.0,15691.0,186.0,2.0,58695455.0,1666365059.4394417
4,31257.0,15684.0,185.0,2.0,58697394.0,1666365061.3745337
5,31226.0,15691.0,184.0,2.0,58697456.0,1666365061.4350045
6,31237.0,15691.0,183.0,2.0,58699394.0,1666365063.4240477
7,31224.0,15690.0,183.0,2.0,58699455.0,1666365063.510056
8,31288.0,15732.0,181.0,2.0,58701395.0,1666365065.4823291
9,31251.0,15734.0,180.0,2.0,58701454.0,1666365065.5653286
10,31260.0,15734.0,179.0,2.0,58703396.0,1666365067.4767027
11,31242.0,15733.0,178.0,2.0,58703454.0,1666365067.560692
12,31290.0,15693.0,176.0,2.0,58705395.0,1666365069.5304499
13,31248.0,15681.0,175.0,2.0,58705455.0,1666365069.6148357
14,31192.0,15687.0,176.0,2.0,58707394.0,1666365071.4785504
15,31220.0,15685.0,176.0,2.0,58707456.0,1666365071.5444357
16,31189.0,15688.0,176.0,2.0,58709394.0,1666365073.3756108
17,31240.0,15687.0,176.0,2.0,58709455.0,1666365073.4351604
18,31240.0,15707.0,175.0,2.0,58711395.0,1666365075.3850162
19,31253.0,15699.0,174.0,2.0,58711454.0,1666365075.4460595
20,31230.0,15703.0,174.0,2.0,58713396.0,1666365077.380592
21,31273.0,15707.0,173.0,2.0,58713454.0,1666365077.4394648
22,31205.0,15697.0,173.0,2.0,58715395.0,1666365079.3903434
23,31233.0,15708.0,173.0,2.0,58715454.0,1666365079.4353423
24,31234.0,15701.0,173.0,2.0,58717395.0,1666365081.3856094
25,31298.0,15700.0,171.0,2.0,58717455.0,1666365081.4582171
26,31221.0,15696.0,171.0,2.0,58719395.0,1666365083.3819602
27,31195.0,15702.0,172.0,2.0,58719454.0,1666365083.4419577
